gics4,score
1010,.8126573
1510,-.15603249
2010,-.19736513
2020,-1.4645803
2030,-.50638336
2510,-.36214867
2520,.41606945
2530,-4.0997338
2550,-.12941448
3010,-2.1737261
3020,-1.143322
3030,-1.1916416
3510,-.40860951
3520,-.16256006
4010,-.039807715
4020,.10482262
4030,-.429115
4510,-.46057281
4520,.085847333
4530,.0091284756
5010,-.71212327
5020,.49318805
5510,.4333418
6010,-.68524033
